Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Cybersecurity Analyst,Technology,Active,Moderate,105722,Bachelor,2,11480,12468,72,22,Chennai,30
Factory Worker,Manufacturing,Declining,High,44583,High School,2,11699,14450,56,92,Mumbai,94
Doctor,Healthcare,Stable,Low,182025,Doctorate,5,10903,21810,34,1,Delhi,53
Teacher,Education,Stable,Low,53525,Master,6,12446,8866,32,30,Hyderabad,36
AI Engineer,Technology,Active,High,147588,Master,6,8073,9616,63,16,Kolkata,22
Accountant,Finance,Active,Moderate,71454,Bachelor,3,10985,13325,39,68,Jaipur,64
Cybersecurity Analyst,Technology,Active,Moderate,95585,Bachelor,5,11716,16843,89,18,Pune,28
HR Manager,Corporate,Active,Moderate,90253,MBA,5,13088,19942,35,38,Bengaluru,70
Cybersecurity Analyst,Technology,Active,Moderate,95083,Bachelor,5,13964,21442,87,27,Bengaluru,58
Mechanical Engineer,Manufacturing,Stable,Moderate,81653,Bachelor,3,5668,7245,34,35,Kolkata,12
Accountant,Finance,Active,Moderate,73001,Bachelor,2,1584,1162,36,71,Hyderabad,64
Research Scientist,Research,Active,Low,141079,Doctorate,5,9792,15902,44,1,Pune,88
Cybersecurity Analyst,Technology,Active,Moderate,116014,Bachelor,6,11238,19381,84,13,Ahmedabad,48
Customer Support Executive,Services,Declining,Moderate,36823,Bachelor,3,14994,15103,21,93,Ahmedabad,38
AI Engineer,Technology,Active,High,129850,Master,5,4839,8747,40,4,Delhi,61
Cybersecurity Analyst,Technology,Active,Moderate,119192,Bachelor,5,12705,14491,56,19,Jaipur,40
Teacher,Education,Stable,Low,67355,Master,4,4804,5182,18,22,Noida,22
Customer Support Executive,Services,Declining,Moderate,47835,Bachelor,0,10060,11514,32,76,Kolkata,46
Cashier,Retail,Declining,Moderate,38452,High School,1,4093,3231,51,93,Delhi,34
Teacher,Education,Stable,Low,55460,Master,4,8585,12467,0,35,Mumbai,33
Mechanical Engineer,Manufacturing,Stable,Moderate,112802,Bachelor,5,1271,1380,36,42,Mumbai,33
AI Engineer,Technology,Active,High,131628,Master,4,10780,21663,58,12,Delhi,62
Mechanical Engineer,Manufacturing,Stable,Moderate,105687,Bachelor,4,11649,17514,45,33,Kolkata,34
Doctor,Healthcare,Stable,Low,196141,Doctorate,8,1540,3823,2,1,Kolkata,32
Customer Support Executive,Services,Declining,Moderate,45577,Bachelor,4,10263,12604,27,90,Ahmedabad,45
Teacher,Education,Stable,Low,59500,Master,4,4619,4671,30,20,Jaipur,79
HR Manager,Corporate,Active,Moderate,95865,MBA,2,688,696,26,41,Mumbai,59
Nurse,Healthcare,Stable,Low,91366,Bachelor,4,14996,12275,22,11,Jaipur,7
Mechanical Engineer,Manufacturing,Stable,Moderate,109120,Bachelor,3,4871,3979,49,43,Pune,34
Software Engineer,Technology,Active,High,99146,Bachelor,3,5308,4251,62,36,Kolkata,55
AI Engineer,Technology,Active,High,149135,Master,6,7933,17200,61,9,Bengaluru,41
Factory Worker,Manufacturing,Declining,High,46678,High School,4,14849,14173,29,87,Chennai,32
Teacher,Education,Stable,Low,54681,Master,6,12983,15147,48,24,Delhi,52
Teacher,Education,Stable,Low,59554,Master,4,2243,1971,36,32,Chennai,53
HR Manager,Corporate,Active,Moderate,85554,MBA,8,10968,14927,42,49,Jaipur,31
Doctor,Healthcare,Stable,Low,198842,Doctorate,8,3758,2938,33,15,Delhi,18
Cashier,Retail,Declining,Moderate,32822,High School,0,12992,11619,10,85,Delhi,47
Teacher,Education,Stable,Low,57255,Master,7,13257,12562,45,32,Jaipur,58
Research Scientist,Research,Active,Low,164807,Doctorate,8,509,885,32,19,Noida,36
Cashier,Retail,Declining,Moderate,25000,High School,3,8505,10490,39,94,Bengaluru,5
Software Engineer,Technology,Active,High,98102,Bachelor,2,6447,11202,69,35,Chennai,45
Cybersecurity Analyst,Technology,Active,Moderate,89869,Bachelor,4,1449,1699,45,34,Hyderabad,64
Research Scientist,Research,Active,Low,165895,Doctorate,5,9795,14750,29,22,Mumbai,47
Software Engineer,Technology,Active,High,125566,Bachelor,3,12491,17016,88,36,Ahmedabad,26
HR Manager,Corporate,Active,Moderate,82255,MBA,7,1633,1473,50,40,Jaipur,13
Mechanical Engineer,Manufacturing,Stable,Moderate,77220,Bachelor,0,2560,4106,38,22,Delhi,36
Nurse,Healthcare,Stable,Low,98611,Bachelor,5,8287,16030,40,1,Jaipur,44
AI Engineer,Technology,Active,High,141221,Master,4,4842,7086,90,3,Jaipur,42
HR Manager,Corporate,Active,Moderate,84231,MBA,3,10438,10734,43,31,Kolkata,62
Cybersecurity Analyst,Technology,Active,Moderate,83762,Bachelor,4,9335,8419,55,25,Hyderabad,19
Factory Worker,Manufacturing,Declining,High,43965,High School,2,5607,6247,0,82,Kolkata,48
Nurse,Healthcare,Stable,Low,83854,Bachelor,3,11147,19485,21,16,Pune,35
Graphic Designer,Media,Active,Moderate,55421,Bachelor,6,8979,9266,29,48,Ahmedabad,40
Software Engineer,Technology,Active,High,117610,Bachelor,3,4561,5993,52,35,Hyderabad,72
Software Engineer,Technology,Active,High,77570,Bachelor,1,6039,6961,53,29,Bengaluru,25
Doctor,Healthcare,Stable,Low,216442,Doctorate,9,9575,20303,19,7,Hyderabad,87
Doctor,Healthcare,Stable,Low,201913,Doctorate,7,4108,3818,63,1,Bengaluru,20
Software Engineer,Technology,Active,High,122225,Bachelor,5,12097,13637,70,36,Bengaluru,38
Cybersecurity Analyst,Technology,Active,Moderate,92281,Bachelor,3,1604,1393,58,25,Bengaluru,29
HR Manager,Corporate,Active,Moderate,85494,MBA,3,5913,6444,42,31,Mumbai,49
Teacher,Education,Stable,Low,56805,Master,3,4399,5432,25,25,Chennai,58
Nurse,Healthcare,Stable,Low,67972,Bachelor,4,8453,14372,24,3,Hyderabad,50
Teacher,Education,Stable,Low,36909,Master,4,2667,3169,29,30,Noida,15
Doctor,Healthcare,Stable,Low,178572,Doctorate,6,8244,13674,32,4,Hyderabad,34
Mechanical Engineer,Manufacturing,Stable,Moderate,98210,Bachelor,5,8249,10687,48,20,Kolkata,30
Cybersecurity Analyst,Technology,Active,Moderate,101578,Bachelor,3,2045,3215,73,30,Mumbai,53
Nurse,Healthcare,Stable,Low,101117,Bachelor,3,7562,13111,37,8,Pune,37
Customer Support Executive,Services,Declining,Moderate,41893,Bachelor,1,7235,8433,0,82,Ahmedabad,40
HR Manager,Corporate,Active,Moderate,94665,MBA,4,12445,13168,58,17,Bengaluru,38
Nurse,Healthcare,Stable,Low,85187,Bachelor,6,11206,11227,30,18,Mumbai,61
Data Scientist,Technology,Active,High,126434,Master,2,7096,13636,75,8,Pune,65
Mechanical Engineer,Manufacturing,Stable,Moderate,93655,Bachelor,3,14617,19295,52,40,Mumbai,36
Cybersecurity Analyst,Technology,Active,Moderate,99603,Bachelor,2,3639,5389,55,30,Hyderabad,36
Teacher,Education,Stable,Low,58161,Master,5,7850,7643,58,21,Delhi,37
Customer Support Executive,Services,Declining,Moderate,37347,Bachelor,3,3506,4027,52,83,Chennai,78
Graphic Designer,Media,Active,Moderate,58964,Bachelor,1,4592,3964,38,41,Mumbai,28
Graphic Designer,Media,Active,Moderate,46867,Bachelor,3,13738,17176,82,35,Jaipur,58
Software Engineer,Technology,Active,High,116349,Bachelor,3,1328,2056,74,25,Jaipur,20
HR Manager,Corporate,Active,Moderate,104245,MBA,5,741,1170,36,24,Mumbai,42
Research Scientist,Research,Active,Low,140936,Doctorate,8,12846,18106,24,8,Hyderabad,64
AI Engineer,Technology,Active,High,125558,Master,6,7158,15216,28,4,Ahmedabad,21
Graphic Designer,Media,Active,Moderate,62380,Bachelor,5,4002,3610,14,33,Kolkata,44
Research Scientist,Research,Active,Low,117838,Doctorate,8,1460,1656,32,24,Delhi,65
Customer Support Executive,Services,Declining,Moderate,38709,Bachelor,0,535,406,35,81,Kolkata,32
Accountant,Finance,Active,Moderate,71254,Bachelor,1,13346,20129,47,70,Ahmedabad,35
Accountant,Finance,Active,Moderate,69724,Bachelor,2,7430,8978,59,53,Jaipur,7
Nurse,Healthcare,Stable,Low,72345,Bachelor,2,12270,11490,38,1,Ahmedabad,30
AI Engineer,Technology,Active,High,117008,Master,7,3611,2669,78,8,Chennai,43
Cybersecurity Analyst,Technology,Active,Moderate,95341,Bachelor,2,1458,2049,56,25,Noida,53
Factory Worker,Manufacturing,Declining,High,38400,High School,3,9383,7127,49,80,Bengaluru,49
Factory Worker,Manufacturing,Declining,High,46364,High School,4,5638,4640,16,92,Bengaluru,39
Data Scientist,Technology,Active,High,129891,Master,2,10071,12567,47,13,Ahmedabad,68
Teacher,Education,Stable,Low,43429,Master,6,14470,14868,9,8,Jaipur,75
AI Engineer,Technology,Active,High,138418,Master,4,1431,2695,87,14,Jaipur,38
Software Engineer,Technology,Active,High,127767,Bachelor,6,14448,14584,82,36,Delhi,41
Software Engineer,Technology,Active,High,110243,Bachelor,3,10249,9285,40,39,Mumbai,81
Nurse,Healthcare,Stable,Low,92319,Bachelor,3,14620,10442,44,14,Hyderabad,62
Customer Support Executive,Services,Declining,Moderate,47994,Bachelor,3,2464,2027,32,86,Noida,51
Cybersecurity Analyst,Technology,Active,Moderate,67985,Bachelor,3,9985,13313,73,25,Noida,19
Data Scientist,Technology,Active,High,111151,Master,1,10647,17405,80,5,Mumbai,82
Customer Support Executive,Services,Declining,Moderate,38538,Bachelor,2,11270,9584,38,75,Noida,47
Doctor,Healthcare,Stable,Low,235297,Doctorate,7,9065,11799,28,9,Pune,48
Research Scientist,Research,Active,Low,134374,Doctorate,9,4772,5830,34,15,Hyderabad,34
Nurse,Healthcare,Stable,Low,91450,Bachelor,5,12234,12892,3,21,Pune,21
Cybersecurity Analyst,Technology,Active,Moderate,92420,Bachelor,5,4851,7125,72,34,Kolkata,64
AI Engineer,Technology,Active,High,148509,Master,5,11504,12504,42,14,Chennai,59
Graphic Designer,Media,Active,Moderate,66044,Bachelor,3,5680,8940,31,34,Mumbai,57
Data Scientist,Technology,Active,High,125424,Master,4,8008,8927,44,24,Noida,26
Doctor,Healthcare,Stable,Low,207603,Doctorate,7,2138,2709,37,19,Mumbai,48
Teacher,Education,Stable,Low,61810,Master,2,3992,5623,10,29,Jaipur,57
Accountant,Finance,Active,Moderate,70394,Bachelor,4,2670,2834,22,93,Pune,38
Research Scientist,Research,Active,Low,132515,Doctorate,9,1627,1961,19,16,Hyderabad,39
Cashier,Retail,Declining,Moderate,27102,High School,0,5169,4282,16,91,Delhi,49
Graphic Designer,Media,Active,Moderate,77093,Bachelor,1,14160,12693,32,28,Jaipur,86
Factory Worker,Manufacturing,Declining,High,41414,High School,3,5456,5497,64,82,Noida,35
Mechanical Engineer,Manufacturing,Stable,Moderate,83270,Bachelor,3,11214,16592,26,38,Jaipur,38
Data Scientist,Technology,Active,High,107396,Master,5,11442,10298,88,15,Jaipur,56
Accountant,Finance,Active,Moderate,71704,Bachelor,0,11368,14024,19,76,Mumbai,38
Research Scientist,Research,Active,Low,149807,Doctorate,7,2700,3674,54,8,Chennai,30
Software Engineer,Technology,Active,High,91792,Bachelor,1,2253,3532,54,34,Jaipur,57
AI Engineer,Technology,Active,High,117814,Master,0,4962,8029,54,11,Chennai,63
Doctor,Healthcare,Stable,Low,194728,Doctorate,10,3950,4663,39,10,Pune,61
Cybersecurity Analyst,Technology,Active,Moderate,99807,Bachelor,4,11763,18572,82,38,Chennai,66
Teacher,Education,Stable,Low,64122,Master,5,8504,7031,28,18,Chennai,32
Research Scientist,Research,Active,Low,148315,Doctorate,7,14362,18799,42,11,Bengaluru,45
Software Engineer,Technology,Active,High,92049,Bachelor,4,10892,15911,96,36,Kolkata,49
HR Manager,Corporate,Active,Moderate,80905,MBA,5,5033,5157,35,36,Bengaluru,48
Data Scientist,Technology,Active,High,118303,Master,4,5964,6508,63,21,Delhi,12
Nurse,Healthcare,Stable,Low,94843,Bachelor,3,4791,8781,37,7,Delhi,51
Factory Worker,Manufacturing,Declining,High,53453,High School,1,7739,8590,4,84,Jaipur,22
Factory Worker,Manufacturing,Declining,High,44040,High School,2,7507,6249,52,89,Jaipur,34
Data Scientist,Technology,Active,High,105795,Master,5,2332,4515,65,10,Mumbai,42
Research Scientist,Research,Active,Low,150638,Doctorate,5,11821,12164,64,9,Delhi,49
Teacher,Education,Stable,Low,53407,Master,5,1090,948,36,23,Pune,62
Doctor,Healthcare,Stable,Low,172591,Doctorate,8,9552,9876,34,10,Delhi,53
Customer Support Executive,Services,Declining,Moderate,42734,Bachelor,2,2588,3190,18,82,Bengaluru,67
Accountant,Finance,Active,Moderate,74127,Bachelor,1,6474,5261,34,69,Bengaluru,77
Research Scientist,Research,Active,Low,139325,Doctorate,4,6362,4943,6,14,Hyderabad,33
Nurse,Healthcare,Stable,Low,95156,Bachelor,3,4588,3643,34,8,Mumbai,5
Cashier,Retail,Declining,Moderate,25000,High School,2,13281,14373,41,95,Jaipur,44
Research Scientist,Research,Active,Low,130407,Doctorate,6,14831,27941,27,9,Kolkata,24
Doctor,Healthcare,Stable,Low,212473,Doctorate,9,12779,21818,19,8,Delhi,40
Research Scientist,Research,Active,Low,138552,Doctorate,6,4378,3761,21,24,Delhi,56
Mechanical Engineer,Manufacturing,Stable,Moderate,83831,Bachelor,4,13783,11956,39,33,Delhi,77
Research Scientist,Research,Active,Low,146013,Doctorate,7,7255,12058,47,18,Bengaluru,35
AI Engineer,Technology,Active,High,156341,Master,5,12567,17607,77,32,Pune,38
Mechanical Engineer,Manufacturing,Stable,Moderate,92209,Bachelor,2,7245,10792,25,39,Hyderabad,83
Accountant,Finance,Active,Moderate,84511,Bachelor,3,3108,2814,14,79,Mumbai,35
Customer Support Executive,Services,Declining,Moderate,41015,Bachelor,3,14789,17880,33,76,Bengaluru,73
HR Manager,Corporate,Active,Moderate,72497,MBA,2,8211,13451,6,48,Hyderabad,43
Cybersecurity Analyst,Technology,Active,Moderate,115301,Bachelor,1,13878,18346,59,41,Ahmedabad,69
Cashier,Retail,Declining,Moderate,27747,High School,1,5500,6015,40,89,Hyderabad,15
Cybersecurity Analyst,Technology,Active,Moderate,94425,Bachelor,3,887,1100,89,39,Hyderabad,13
Customer Support Executive,Services,Declining,Moderate,38260,Bachelor,0,5878,8103,49,70,Chennai,64
HR Manager,Corporate,Active,Moderate,77777,MBA,2,1637,1260,30,32,Chennai,21
Cashier,Retail,Declining,Moderate,33586,High School,0,11010,10316,46,80,Jaipur,29
Customer Support Executive,Services,Declining,Moderate,42499,Bachelor,3,11633,12008,57,83,Jaipur,52
Cashier,Retail,Declining,Moderate,33709,High School,1,952,774,29,87,Mumbai,45
Research Scientist,Research,Active,Low,128449,Doctorate,6,4779,8700,16,10,Delhi,9
Doctor,Healthcare,Stable,Low,199792,Doctorate,8,4849,7363,0,31,Bengaluru,29
Software Engineer,Technology,Active,High,115324,Bachelor,1,10274,15494,81,30,Kolkata,79
Cashier,Retail,Declining,Moderate,29313,High School,1,12436,13442,34,99,Pune,62
Customer Support Executive,Services,Declining,Moderate,41476,Bachelor,1,10432,14100,36,88,Jaipur,66
Software Engineer,Technology,Active,High,118431,Bachelor,1,6811,7986,56,37,Noida,63
Cybersecurity Analyst,Technology,Active,Moderate,92122,Bachelor,4,4673,6894,95,28,Bengaluru,62
Factory Worker,Manufacturing,Declining,High,51423,High School,0,7644,9055,47,93,Bengaluru,68
Teacher,Education,Stable,Low,53274,Master,5,13713,9662,16,16,Jaipur,19
Nurse,Healthcare,Stable,Low,101263,Bachelor,2,12287,14807,7,9,Hyderabad,21
Cashier,Retail,Declining,Moderate,27836,High School,1,7566,8076,22,86,Mumbai,85
Nurse,Healthcare,Stable,Low,95014,Bachelor,3,5909,8123,26,11,Noida,24
Cashier,Retail,Declining,Moderate,25000,High School,3,11368,11293,2,99,Mumbai,55
Factory Worker,Manufacturing,Declining,High,48211,High School,3,5420,6901,30,91,Jaipur,41
Accountant,Finance,Active,Moderate,74645,Bachelor,2,11426,10638,17,67,Kolkata,25
Cashier,Retail,Declining,Moderate,30647,High School,3,7092,6178,62,98,Chennai,34
Teacher,Education,Stable,Low,44527,Master,4,2585,3218,32,25,Hyderabad,20
Customer Support Executive,Services,Declining,Moderate,37113,Bachelor,2,11394,12500,60,79,Kolkata,34
Nurse,Healthcare,Stable,Low,85649,Bachelor,4,12757,18907,37,12,Delhi,45
Doctor,Healthcare,Stable,Low,164836,Doctorate,7,9824,17680,55,5,Chennai,40
Customer Support Executive,Services,Declining,Moderate,43606,Bachelor,3,9477,8456,22,77,Bengaluru,67
Accountant,Finance,Active,Moderate,64342,Bachelor,3,5200,6559,75,65,Hyderabad,54
Customer Support Executive,Services,Declining,Moderate,36472,Bachelor,1,13373,10257,43,80,Noida,42
Doctor,Healthcare,Stable,Low,200819,Doctorate,11,11226,12545,61,1,Pune,50
Graphic Designer,Media,Active,Moderate,64983,Bachelor,3,7738,8232,21,48,Ahmedabad,35
Nurse,Healthcare,Stable,Low,90803,Bachelor,6,4001,4226,15,6,Jaipur,34
Graphic Designer,Media,Active,Moderate,63459,Bachelor,1,13504,19180,35,36,Delhi,16
Nurse,Healthcare,Stable,Low,88374,Bachelor,5,1889,2631,13,2,Chennai,57
Teacher,Education,Stable,Low,67847,Master,4,11376,8510,66,29,Noida,46
Cashier,Retail,Declining,Moderate,31939,High School,0,2030,1645,18,92,Hyderabad,73
Nurse,Healthcare,Stable,Low,81870,Bachelor,5,5585,9684,13,3,Hyderabad,39
Mechanical Engineer,Manufacturing,Stable,Moderate,103101,Bachelor,4,3762,4593,21,41,Delhi,35
Data Scientist,Technology,Active,High,130425,Master,4,1257,2038,80,13,Hyderabad,21
Graphic Designer,Media,Active,Moderate,50677,Bachelor,3,10515,11117,73,25,Mumbai,60
Graphic Designer,Media,Active,Moderate,65243,Bachelor,3,7290,10689,34,35,Noida,43
Cybersecurity Analyst,Technology,Active,Moderate,105477,Bachelor,3,12269,19770,80,34,Kolkata,35
Graphic Designer,Media,Active,Moderate,63156,Bachelor,1,7047,9340,28,35,Hyderabad,44
AI Engineer,Technology,Active,High,152591,Master,5,11248,10184,100,12,Bengaluru,33
Research Scientist,Research,Active,Low,148898,Doctorate,3,12803,11210,36,5,Mumbai,41
Mechanical Engineer,Manufacturing,Stable,Moderate,90611,Bachelor,4,7465,12435,2,34,Hyderabad,5
AI Engineer,Technology,Active,High,139750,Master,5,13674,14150,55,27,Jaipur,66
Graphic Designer,Media,Active,Moderate,63335,Bachelor,5,1322,994,24,31,Jaipur,38
Cybersecurity Analyst,Technology,Active,Moderate,86942,Bachelor,4,14399,11021,58,31,Mumbai,45
Graphic Designer,Media,Active,Moderate,68408,Bachelor,4,2684,2618,43,53,Ahmedabad,26
Nurse,Healthcare,Stable,Low,82868,Bachelor,3,9202,8769,52,2,Jaipur,12
Doctor,Healthcare,Stable,Low,191695,Doctorate,9,5698,11878,34,6,Ahmedabad,37
Doctor,Healthcare,Stable,Low,179671,Doctorate,9,13853,13115,20,1,Jaipur,48
Customer Support Executive,Services,Declining,Moderate,39926,Bachelor,2,14108,10959,0,96,Jaipur,23
Graphic Designer,Media,Active,Moderate,64687,Bachelor,4,3107,3505,19,24,Ahmedabad,15
Graphic Designer,Media,Active,Moderate,76475,Bachelor,2,4746,7132,55,26,Hyderabad,16
HR Manager,Corporate,Active,Moderate,80851,MBA,4,10947,14289,51,37,Chennai,50
Mechanical Engineer,Manufacturing,Stable,Moderate,104058,Bachelor,6,13241,10151,13,40,Jaipur,46
Graphic Designer,Media,Active,Moderate,78432,Bachelor,2,10768,8359,36,32,Hyderabad,48
Accountant,Finance,Active,Moderate,58684,Bachelor,1,7706,7819,47,84,Mumbai,36
Factory Worker,Manufacturing,Declining,High,42645,High School,2,5181,6002,22,95,Hyderabad,31
Accountant,Finance,Active,Moderate,58056,Bachelor,5,6002,5312,40,67,Pune,56
Research Scientist,Research,Active,Low,160573,Doctorate,6,9349,17409,35,4,Mumbai,61
AI Engineer,Technology,Active,High,135923,Master,5,2971,4761,83,19,Hyderabad,29
Customer Support Executive,Services,Declining,Moderate,41724,Bachelor,2,11869,10174,31,71,Delhi,9
Factory Worker,Manufacturing,Declining,High,56103,High School,0,4005,5069,26,85,Mumbai,48
Customer Support Executive,Services,Declining,Moderate,39210,Bachelor,0,7178,9124,51,78,Pune,50
Teacher,Education,Stable,Low,53358,Master,7,8133,11171,50,30,Kolkata,26
Data Scientist,Technology,Active,High,132543,Master,4,3888,7459,70,23,Kolkata,33
Customer Support Executive,Services,Declining,Moderate,37462,Bachelor,2,13112,13821,43,85,Noida,86
Factory Worker,Manufacturing,Declining,High,50807,High School,0,820,851,36,94,Noida,51
Customer Support Executive,Services,Declining,Moderate,46190,Bachelor,3,8314,6751,30,79,Bengaluru,59
Cashier,Retail,Declining,Moderate,26663,High School,2,5392,4379,27,99,Kolkata,52
HR Manager,Corporate,Active,Moderate,72801,MBA,5,14192,14725,40,43,Kolkata,18
Teacher,Education,Stable,Low,47698,Master,4,12747,17862,20,38,Jaipur,37
Mechanical Engineer,Manufacturing,Stable,Moderate,92426,Bachelor,5,10383,11333,65,33,Hyderabad,65
Graphic Designer,Media,Active,Moderate,60530,Bachelor,3,4095,4639,19,30,Chennai,48
Customer Support Executive,Services,Declining,Moderate,47402,Bachelor,5,8456,9237,64,87,Bengaluru,33
Customer Support Executive,Services,Declining,Moderate,43973,Bachelor,1,6007,4528,58,78,Kolkata,36
Factory Worker,Manufacturing,Declining,High,48760,High School,3,3204,3758,0,94,Ahmedabad,37
Research Scientist,Research,Active,Low,125114,Doctorate,5,2591,2499,32,22,Noida,56
Teacher,Education,Stable,Low,48240,Master,7,941,1137,28,27,Kolkata,65
Doctor,Healthcare,Stable,Low,173428,Doctorate,9,9746,17133,0,4,Bengaluru,24
Software Engineer,Technology,Active,High,111859,Bachelor,0,11030,11674,88,33,Kolkata,38
AI Engineer,Technology,Active,High,141508,Master,4,14702,21297,95,14,Ahmedabad,76
AI Engineer,Technology,Active,High,161912,Master,4,1323,2495,76,6,Chennai,52
Customer Support Executive,Services,Declining,Moderate,37247,Bachelor,2,5863,4387,37,79,Hyderabad,41
Graphic Designer,Media,Active,Moderate,58151,Bachelor,1,5855,8874,19,27,Pune,39
Mechanical Engineer,Manufacturing,Stable,Moderate,106935,Bachelor,3,14912,11372,34,20,Kolkata,60
Accountant,Finance,Active,Moderate,76189,Bachelor,2,12820,9225,39,75,Kolkata,57
Accountant,Finance,Active,Moderate,70812,Bachelor,2,14179,13245,24,81,Mumbai,22
Graphic Designer,Media,Active,Moderate,67289,Bachelor,0,817,913,36,37,Jaipur,30
Data Scientist,Technology,Active,High,120271,Master,3,6233,6396,60,21,Hyderabad,65
Nurse,Healthcare,Stable,Low,74638,Bachelor,4,1624,2952,29,13,Bengaluru,51
Mechanical Engineer,Manufacturing,Stable,Moderate,109564,Bachelor,3,1008,1194,20,43,Hyderabad,61
Cybersecurity Analyst,Technology,Active,Moderate,68062,Bachelor,2,14249,19713,57,30,Bengaluru,70
Doctor,Healthcare,Stable,Low,181231,Doctorate,7,2996,6337,33,2,Hyderabad,30
AI Engineer,Technology,Active,High,127179,Master,3,8258,15466,43,15,Mumbai,38
Doctor,Healthcare,Stable,Low,191046,Doctorate,8,4071,8506,34,15,Ahmedabad,43
Factory Worker,Manufacturing,Declining,High,44025,High School,6,4698,3585,53,92,Pune,68
AI Engineer,Technology,Active,High,125796,Master,2,10426,20110,73,29,Noida,64
Factory Worker,Manufacturing,Declining,High,42584,High School,3,12269,15324,13,88,Mumbai,62
Mechanical Engineer,Manufacturing,Stable,Moderate,97088,Bachelor,5,13923,22362,27,37,Delhi,37
Accountant,Finance,Active,Moderate,61976,Bachelor,3,2271,2489,21,76,Noida,48
Data Scientist,Technology,Active,High,128618,Master,4,5611,6974,70,11,Noida,52
Nurse,Healthcare,Stable,Low,83091,Bachelor,5,6649,6056,35,9,Kolkata,77
Factory Worker,Manufacturing,Declining,High,46209,High School,0,3749,4554,45,89,Mumbai,68
Doctor,Healthcare,Stable,Low,158258,Doctorate,9,11815,18290,32,18,Hyderabad,43
Software Engineer,Technology,Active,High,80431,Bachelor,2,11922,10831,87,41,Chennai,54
HR Manager,Corporate,Active,Moderate,82562,MBA,4,11710,9776,23,15,Noida,58
Mechanical Engineer,Manufacturing,Stable,Moderate,103576,Bachelor,1,2483,3827,57,43,Noida,44
Mechanical Engineer,Manufacturing,Stable,Moderate,80240,Bachelor,4,1172,1612,56,31,Pune,37
Teacher,Education,Stable,Low,58460,Master,4,7518,9129,48,26,Pune,79
Software Engineer,Technology,Active,High,96795,Bachelor,1,8789,6502,88,24,Pune,58
Data Scientist,Technology,Active,High,135011,Master,2,14419,27098,85,25,Kolkata,79
